MONTH,YEAR,crude
1,1974,6.95
2,1974,6.87
3,1974,6.77
4,1974,6.77
5,1974,6.87
6,1974,6.85
7,1974,6.8
8,1974,6.71
9,1974,6.7
10,1974,6.97
11,1974,6.97
12,1974,7.09
1,1975,7.61
2,1975,7.47
3,1975,7.57
4,1975,7.55
5,1975,7.52
6,1975,7.49
7,1975,7.75
8,1975,7.73
9,1975,7.75
10,1975,7.83
11,1975,7.8
12,1975,7.93
1,1976,8.63
2,1976,7.91
3,1976,7.78
4,1976,7.86
5,1976,7.89
6,1976,8
7,1976,8.04
8,1976,8.03
9,1976,8.39
10,1976,8.46
11,1976,8.61
12,1976,8.62
1,1977,8.5
2,1977,8.56
3,1977,8.45
4,1977,8.41
5,1977,8.49
6,1977,8.44
7,1977,8.47
8,1977,8.45
9,1977,8.43
10,1977,8.72
11,1977,8.69
12,1977,8.81
1,1978,8.71
2,1978,8.86
3,1978,8.8
4,1978,8.82
5,1978,8.81
6,1978,9.05
7,1978,8.96
8,1978,9.05
9,1978,9.15
10,1978,9.17
11,1978,9.2
12,1978,9.47
1,1979,9.46
2,1979,9.69
3,1979,9.83
4,1979,10.33
5,1979,10.71
6,1979,11.7
7,1979,13.39
8,1979,14
9,1979,14.57
10,1979,15.06
11,1979,15.52
12,1979,17
1,1980,17.86
2,1980,18.86
3,1980,19.33
4,1980,20.28
5,1980,21.05
6,1980,21.52
7,1980,22.31
8,1980,22.62
9,1980,22.59
10,1980,23.23
11,1980,23.99
12,1980,25.83
1,1981,28.81
2,1981,34.3
3,1981,34.59
4,1981,33.92
5,1981,32.73
6,1981,31.68
7,1981,31.1
8,1981,31.1
9,1981,31.1
10,1981,30.98
11,1981,30.97
12,1981,30.8
1,1982,30.8
2,1982,29.73
3,1982,28.31
4,1982,27.64
5,1982,27.66
6,1982,28.12
7,1982,28.09
8,1982,27.99
9,1982,27.99
10,1982,28.76
11,1982,28.74
12,1982,28.02
1,1983,27.22
2,1983,26.41
3,1983,26.08
4,1983,25.85
5,1983,26.08
6,1983,25.98
7,1983,25.86
8,1983,26.03
9,1983,26.08
10,1983,26.04
11,1983,26.09
12,1983,25.88
1,1984,25.93
2,1984,26.06
3,1984,26.05
4,1984,25.93
5,1984,26
6,1984,26.09
7,1984,26.11
8,1984,26.02
9,1984,25.97
10,1984,25.92
11,1984,25.44
12,1984,25.05
1,1985,24.26
2,1985,23.64
3,1985,23.89
4,1985,24.19
5,1985,24.18
6,1985,24.07
7,1985,24.04
8,1985,23.99
9,1985,23.96
10,1985,24.1
11,1985,24.27
12,1985,24.51
1,1986,23.12
2,1986,17.65
3,1986,12.62
4,1986,10.68
5,1986,10.75
6,1986,10.68
7,1986,9.25
8,1986,9.77
9,1986,11.09
10,1986,11
11,1986,11.05
12,1986,11.73
1,1987,13.79
2,1987,14.51
3,1987,14.54
4,1987,14.95
5,1987,15.29
6,1987,15.95
7,1987,16.88
8,1987,17.06
9,1987,16.25
10,1987,15.95
11,1987,15.46
12,1987,14.27
1,1988,13.64
2,1988,13.43
3,1988,12.96
4,1988,13.92
5,1988,14.12
6,1988,13.59
7,1988,12.38
8,1988,12.22
9,1988,11.63
10,1988,10.62
11,1988,10.31
12,1988,11.99
1,1989,13.8
2,1989,14.24
3,1989,15.65
4,1989,17.04
5,1989,16.76
6,1989,16.42
7,1989,16.32
8,1989,15.01
9,1989,15.58
10,1989,16.25
11,1989,16.3
12,1989,17.01
1,1990,18.49
2,1990,18.16
3,1990,16.57
4,1990,14.52
5,1990,13.82
6,1990,12.79
7,1990,14.03
8,1990,21.87
9,1990,28.46
10,1990,30.86
11,1990,27.53
12,1990,22.63
1,1991,19.6
2,1991,16.28
3,1991,15.13
4,1991,16.16
5,1991,16.44
6,1991,15.58
7,1991,16.36
8,1991,16.6
9,1991,16.71
10,1991,17.72
11,1991,17.12
12,1991,14.68
1,1992,13.99
2,1992,14.04
3,1992,14.12
4,1992,15.36
5,1992,16.38
6,1992,17.96
7,1992,17.8
8,1992,17.07
9,1992,17.2
10,1992,17.16
11,1992,16
12,1992,14.94
