"rowid","llfc","llfc.1","lwc","lww","inc","esc","lfmo","lqstop","lback","lnum","lestqty","lnostop","vendor","system","year","biddate"
1,-1.93102153656156,-2.12863178587061,NA,-1.98777435315401,0,0,2.59450815970308,10.8463033633496,-0.0304069516100382,1.38629436111989,16.0392688704124,5.19295685089021,"SUPERIOR","AUSTIN",1979,"6-12-1979"
2,-1.82635091399767,-1.95899538860397,NA,-1.89047544216721,0,0,2.59450815970308,10.8463033633496,-4.06837766310721,1.38629436111989,16.0392688704124,5.19295685089021,"OAK FARMS","AUSTIN",1979,"6-12-1979"
3,-1.75851813544825,-1.84832982071645,NA,-1.81830880446159,0,0,2.59450815970308,10.8463033633496,-5.95097863769542,1.38629436111989,16.0392688704124,5.19295685089021,"SCHEPPS","AUSTIN",1979,"6-12-1979"
4,-1.96611285637283,-2.00248050054371,NA,-2.00248050054371,0,0,2.59450815970308,10.8463033633496,NA,1.38629436111989,16.0392688704124,5.19295685089021,"STEVENS, B.","AUSTIN",1979,"6-12-1979"
5,-1.81400507817537,-1.93102153656156,NA,-1.86433016206289,0,0,2.65955999194178,10.6766697484323,-0.129655987838216,1.38629436111989,15.8696342916598,5.19295685089021,"SUPERIOR","AUSTIN",1980,"6-9-1980"
6,-1.77785656405906,-1.90380897303668,NA,-1.77785656405906,0,0,2.65955999194178,10.6766697484323,-1.86926240190426,1.38629436111989,15.8696342916598,5.19295685089021,"OAK FARMS","AUSTIN",1980,"6-9-1980"
7,-1.6094379124341,-1.67131331615219,NA,-1.65025990695436,0,0,2.65955999194178,10.6766697484323,-2.78226878256124,1.38629436111989,15.8696342916598,5.19295685089021,"PURE","AUSTIN",1980,"6-9-1980"
8,-1.75735804251072,-1.77490235216163,NA,-1.74583053733966,0,0,2.65955999194178,10.6766697484323,-1.6631014178309,1.38629436111989,15.8696342916598,5.19295685089021,"SCHEPPS","AUSTIN",1980,"6-9-1980"
9,-1.80180980508156,-1.93102153656156,NA,-1.84516024595517,0,0,2.72129542785223,10.6702336471303,-0.823730931284778,1.09861228866811,15.8632034013295,5.19295685089021,"OAK FARMS","AUSTIN",1981,"6-9-1981"
10,-1.66073120682165,-1.68739945390381,NA,-1.66600826392249,0,0,2.72129542785223,10.6702336471303,-0.995456958554567,1.09861228866811,15.8632034013295,5.19295685089021,"BORDEN","AUSTIN",1981,"6-9-1981"
11,-1.78379129957888,-1.89711998488588,NA,-1.80788885115794,0,0,2.72129542785223,10.6702336471303,-2.16361445254729,1.09861228866811,15.8632034013295,5.19295685089021,"SUPERIOR","AUSTIN",1981,"6-9-1981"
12,-1.96611285637283,-2.00322151576843,NA,-1.9317114296555,0,0,2.71469474382088,10.615211118669,-0.688146312974833,1.38629436111989,15.8081679695592,5.19295685089021,"OAK FARMS","AUSTIN",1982,"6-16-1982"
13,-1.68739945390381,-1.72036947314138,NA,-1.68739945390381,0,0,2.71469474382088,10.615211118669,-0.427426879331692,1.38629436111989,15.8081679695592,5.19295685089021,"BORDEN","AUSTIN",1982,"6-16-1982"
14,-1.71479842809193,-1.75735804251072,NA,-1.74296930505862,0,0,2.71469474382088,10.615211118669,-0.247519679340345,1.38629436111989,15.8081679695592,5.19295685089021,"PURE","AUSTIN",1982,"6-16-1982"
15,-1.78379129957888,-1.91054300521802,NA,-1.82015894374975,0,0,2.71469474382088,10.615211118669,-1.72290498614513,1.38629436111989,15.8081679695592,5.19295685089021,"SUPERIOR","AUSTIN",1982,"6-16-1982"
16,-2.00693485089309,-2.05027116438006,NA,-1.98267787324753,0,0,2.69867303928961,10.6493694880799,0.157173477460471,1.6094379124341,15.8423421493718,5.19295685089021,"SUPERIOR","AUSTIN",1984,"6-13-1984"
17,-1.72036947314138,-1.77785656405906,NA,-1.72036947314138,0,0,2.69867303928961,10.6493694880799,-0.461295043275446,1.6094379124341,15.8423421493718,5.19295685089021,"BORDEN","AUSTIN",1984,"6-13-1984"
18,-2.00322151576843,-2.01815831326294,NA,-1.9668273973107,0,0,2.69867303928961,10.6493694880799,-0.980924774663051,1.6094379124341,15.8423421493718,5.19295685089021,"OAK FARMS","AUSTIN",1984,"6-13-1984"
19,-1.77195684193188,-1.80180980508156,NA,-1.77195684193188,0,0,2.69867303928961,10.6493694880799,-0.170637086778319,1.6094379124341,15.8423421493718,5.19295685089021,"PURE","AUSTIN",1984,"6-13-1984"
20,-1.71535413802565,-1.77254525030425,NA,-1.71535413802565,0,0,2.69867303928961,10.6493694880799,-0.32790768152389,1.6094379124341,15.8423421493718,5.19295685089021,"SCHEPPS","AUSTIN",1984,"6-13-1984"
21,-2.0874737133771,-2.09557092360972,NA,-1.99510039324608,0,0,2.66305283517147,10.6090572530946,-0.361016331366501,1.6094379124341,15.8020141039848,5.19295685089021,"OAK FARMS","AUSTIN",1985,"6-18-1985"
22,-1.71479842809193,-1.77490235216163,NA,-1.7175800710538,0,0,2.66305283517147,10.6090572530946,-0.410203017320686,1.6094379124341,15.8020141039848,5.19295685089021,"BORDEN","AUSTIN",1985,"6-18-1985"
23,-1.77195684193188,-1.80180980508156,NA,-1.77195684193188,0,0,2.66305283517147,10.6090572530946,-0.131853019279707,1.6094379124341,15.8020141039848,5.19295685089021,"PURE","AUSTIN",1985,"6-18-1985"
24,-1.73160554640831,-1.78976146656538,NA,-1.73160554640831,0,0,2.66305283517147,10.6090572530946,-0.189968274649291,1.6094379124341,15.8020141039848,5.19295685089021,"SCHEPPS","AUSTIN",1985,"6-18-1985"
25,-2.02950917293163,-2.06593319165504,NA,-1.99878363866238,0,0,2.66305283517147,10.6090572530946,-0.709287600230541,1.6094379124341,15.8020141039848,5.19295685089021,"SUPERIOR","AUSTIN",1985,"6-18-1985"
26,-2.12026353620009,-2.12026353620009,NA,-2.01066202628501,0,0,2.67000213346468,10.6028652828467,-0.265265966213663,1.38629436111989,15.7958221337369,5.19295685089021,"SUPERIOR","AUSTIN",1986,"5-26-1986"
27,-2.07147337203066,-2.07147337203066,NA,-1.98050159382493,0,0,2.67000213346468,10.6028652828467,-2.48857897758085,1.38629436111989,15.7958221337369,5.19295685089021,"OAK FARMS","AUSTIN",1986,"5-26-1986"
28,-1.80180980508156,-1.81707727721234,NA,-1.80180980508156,0,0,2.67000213346468,10.6028652828467,-0.64460852670604,1.38629436111989,15.7958221337369,5.19295685089021,"PURE","AUSTIN",1986,"5-26-1986"
29,-1.73727128394399,-1.76609172247948,NA,-1.70925824771631,0,0,2.67000213346468,10.6028652828467,-1.34912010737314,1.38629436111989,15.7958221337369,5.19295685089021,"SCHEPPS","AUSTIN",1986,"5-26-1986"
30,-2.08828049034704,-2.0874737133771,NA,-1.98850454668773,0,0,2.70270259477561,10.6546205822947,-0.167414076608432,1.6094379124341,15.8475984032606,5.19295685089021,"SUPERIOR","AUSTIN",1987,"5-11-1987"
31,-1.80180980508156,-1.83885107676191,NA,-1.80180980508156,0,0,2.70270259477561,10.6546205822947,-0.835605232462272,1.6094379124341,15.8475984032606,5.19295685089021,"BORDEN","AUSTIN",1987,"5-11-1987"
32,-2.07226733793184,-2.10455424249491,NA,-1.9668273973107,0,0,2.70270259477561,10.6546205822947,-1.41992876123878,1.6094379124341,15.8475984032606,5.19295685089021,"OAK FARMS","AUSTIN",1987,"5-11-1987"
33,-1.81707727721234,-1.83885107676191,NA,-1.83258146374831,0,0,2.70270259477561,10.6546205822947,-0.397268470563548,1.6094379124341,15.8475984032606,5.19295685089021,"PURE","AUSTIN",1987,"5-11-1987"
