SYSTEM,COUNTY,VENDOR,ESC
LYTLE,ATASCOSA,BORDEN,0
LYTLE,ATASCOSA,OAK FARMS,0
TROY,BELL,OAK FARMS,0
EAST CENTRAL,BEXAR,BORDEN,0
EAST CENTRAL,BEXAR,PRESTON,0
EAST CENTRAL,BEXAR,SCHEPPS,0
NORTH EAST,BEXAR,BORDEN,0
NORTH EAST,BEXAR,PRESTON,0
NORTH EAST,BEXAR,SCHEPPS,0
NORTHSIDE,BEXAR,BORDEN,0
NORTHSIDE,BEXAR,OAK FARMS,0
NORTHSIDE,BEXAR,PRESTON,0
NORTHSIDE,BEXAR,SCHEPPS,0
SAN ANTONIO,BEXAR,BORDEN,1
SAN ANTONIO,BEXAR,PRESTON,1
SAN ANTONIO,BEXAR,SCHEPPS,1
SOUTHSIDE,BEXAR,PRESTON,0
SOUTHSIDE,BEXAR,SCHEPPS,0
PLANO,COLLIN,SCHEPPS,1
WYLIE,COLLIN,CABELL,0
COMAL,COMAL,PRESTON,0
CARROLLTON,DALLAS,SCHEPPS,0
GRAND PRAIRIE,DALLAS,SCHEPPS,1
LANCASTER,DALLAS,BORDEN,1
LANCASTER,DALLAS,OAK FARMS,0
RICHARDSON,DALLAS,SCHEPPS,1
DENTON,DENTON,SCHEPPS,1
LEWISVILLE,DENTON,BORDEN,1
LEWISVILLE,DENTON,CABELL,1
LEWISVILLE,DENTON,SCHEPPS,1
ENNIS,ELLIS,BORDEN,0
ENNIS,ELLIS,OAK FARMS,0
FERRIS,ELLIS,OAK FARMS,0
PALMER,ELLIS,OAK FARMS,0
WAXAHACHIE,ELLIS,OAK FARMS,0
CHILTON,FALLS,BORDEN,0
ROSEBUD,FALLS,BORDEN,0
CLEBURNE,JOHNSON,BORDEN,1
PARIS,LAMAR,CABELL,0
CONNALLY,MC CLENNAN,BORDEN,0
ROBINSON,MC CLENNAN,BORDEN,0
ROBINSON,MC CLENNAN,OAK FARMS,0
WEST,MC CLENNAN,BORDEN,0
MEDINA VALLEY,MEDINA,BORDEN,0
MEDINA VALLEY,MEDINA,PRESTON,0
WEATHERFORD,PARKER,BORDEN,1
ARLINGTON,TARRANT,SCHEPPS,1
CASTLEBERRY,TARRANT,BORDEN,1
CROWLEY,TARRANT,SCHEPPS,1
AUSTIN,TRAVIS,OAK FARMS,0
LA VERNIA,WILSON,BORDEN,0
LA VERNIA,WILSON,PRESTON,0
