rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,DEL,ESC,COOLER,MILES,WIN,NUMSCHL,NUMWIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO,N
6,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1980,0.169,0.149,0.169,,2700000,600000,4500000,,7800000,,7,5,0,,,0,96,1,21316968.2856175,58060037.7775751,3163489.66666667,34259343.9798566,-0.274814412426924,0,14.3,4
8,AUSTIN,TRAVIS,AUST,SCHEPPS,6,9,1980,0.1725,0.1695,0.1745,,2700000,600000,4500000,,7800000,,7,5,0,,,0,96,1,21316968.2856175,58060037.7775751,3122280.36962458,24459260.8526589,-0.239501604310038,0,14.3,4
9,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1981,0.165,0.145,0.158,,2000000,750000,5000000,,7750000,7750000,7,5,,,,1,96,1,33059032.7898085,75676361.1466808,2995923.66666667,34259343.9798566,-0.349399181303737,0,15.26,3
10,AUSTIN,TRAVIS,AUST,BORDEN,6,9,1981,0.19,0.185,0.189,,2000000,750000,5000000,,7750000,,7,5,,,,0,96,1,33059032.7898085,75676361.1466808,3354806.66666667,14843406.5703431,-0.210834290569341,0,15.26,3
11,AUSTIN,TRAVIS,AUST,SUPERIOR,6,9,1981,0.168,0.15,0.164,,2000000,750000,5000000,,7750000,,7,5,,,,0,96,1,33059032.7898085,75676361.1466808,0.0,9552974.16662402,-0.436847547753141,0,15.26,3
12,AUSTIN,TRAVIS,AUST,OAK FARMS,6,16,1982,0.14,0.1349,0.1449,,1700000,535000,5100000,,7335000,7335000,7,5,0,,,1,96,1,44102319.0379075,84946678.9341424,3763656.33333333,34259343.9798566,-0.409318689995692,0,15.07,4
13,AUSTIN,TRAVIS,AUST,BORDEN,6,16,1982,0.185,0.179,0.185,,1700000,535000,5100000,,7335000,,7,5,0,,,0,96,1,44102319.0379075,84946678.9341424,5176363.14910152,14843406.5703431,-0.17044501457134,0,15.07,4
14,AUSTIN,TRAVIS,AUST,PURE,6,16,1982,0.18,0.1725,0.175,,1700000,535000,5100000,,7335000,,7,5,0,,,0,96,1,44102319.0379075,84946678.9341424,2208000.0,4073460.97903592,0.0228687120188792,0,15.07,4
15,AUSTIN,TRAVIS,AUST,SUPERIOR,6,16,1982,0.168,0.148,0.162,,1700000,535000,5100000,,7335000,,7,5,0,,,0,96,1,44102319.0379075,84946678.9341424,0.0,9552974.16662402,-0.519176495082276,0,15.07,4
17,AUSTIN,TRAVIS,AUST,BORDEN,6,13,1984,0.179,0.169,0.179,,4500000,290000,2800000,,7590000,,7,5,0,,,0,96,1,30982920.1227738,86135755.5117197,1675062.55577056,14843406.5703431,-0.246849779316766,0,14.69,5
