rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,ESC,WIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO
1,AUSTIN,TRAVIS,AUST,SUPERIOR,6,12,1979,0.145,0.119,0.137,,4500000,242000,4500000,,9242000,9242000,7,0,1,10120694,10147109.8858498,9242000,9552974.16662402,-0.0299493104771686,0,13.39
2,AUSTIN,TRAVIS,AUST,OAK FARMS,6,12,1979,0.161,0.141,0.151,,4500000,242000,4500000,,9242000,,7,0,0,10120694,10147109.8858498,496823,34259343.9798566,-0.982894883729302,0,13.39
3,AUSTIN,TRAVIS,AUST,SCHEPPS,6,12,1979,0.1723,0.1575,0.1623,,4500000,242000,4500000,,9242000,,7,0,0,10120694,10147109.8858498,0,24459260.8526589,-0.99739670840791,0,13.39
4,AUSTIN,TRAVIS,AUST,"STEVENS, B.",6,12,1979,0.14,0.135,0.135,,4500000,242000,4500000,,9242000,,7,0,0,10120694,10147109.8858498,0,0,,0,13.39
5,AUSTIN,TRAVIS,AUST,SUPERIOR,6,9,1980,0.163,0.145,0.155,,2700000,600000,4500000,,7800000,7800000,7,0,1,54466242.4919576,58060037.7775751,7800000,9552974.16662402,-0.121602441607212,0,14.29
6,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1980,0.169,0.149,0.169,,2700000,600000,4500000,,7800000,,7,0,0,54466242.4919576,58060037.7775751,3163489.66666667,34259343.9798566,-0.845762614929533,0,14.29
7,AUSTIN,TRAVIS,AUST,PURE,6,9,1980,0.2,0.188,0.192,,2700000,600000,4500000,,7800000,,7,0,0,54466242.4919576,58060037.7775751,0,4073460.97903592,-0.938102084959277,0,14.29
8,AUSTIN,TRAVIS,AUST,SCHEPPS,6,9,1980,0.1725,0.1695,0.1745,,2700000,600000,4500000,,7800000,,7,0,0,54466242.4919576,58060037.7775751,3122280.36962458,24459260.8526589,-0.810449806812647,0,14.29
9,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1981,0.165,0.145,0.158,,2000000,750000,5000000,,7750000,7750000,7,0,1,66980463.4186782,75676361.1466808,11096000.5909967,34259343.9798566,-0.561208504170382,0,15.2
10,AUSTIN,TRAVIS,AUST,BORDEN,6,9,1981,0.19,0.185,0.189,,2000000,750000,5000000,,7750000,,7,0,0,66980463.4186782,75676361.1466808,3779806.66666667,14843406.5703431,-0.630445465151445,0,15.2
11,AUSTIN,TRAVIS,AUST,SUPERIOR,6,9,1981,0.168,0.15,0.164,,2000000,750000,5000000,,7750000,,7,0,0,66980463.4186782,75676361.1466808,0.0,9552974.16662402,-0.885090963727133,0,15.2
12,AUSTIN,TRAVIS,AUST,OAK FARMS,6,16,1982,0.14,0.1349,0.1449,,1700000,535000,5100000,,7335000,7335000,7,0,1,69779728.1998207,84946678.9341424,11098656.3333333,34259343.9798566,-0.49749330360316,0,15.1
13,AUSTIN,TRAVIS,AUST,BORDEN,6,16,1982,0.185,0.179,0.185,,1700000,535000,5100000,,7335000,,7,0,0,69779728.1998207,84946678.9341424,7030406.89910152,14843406.5703431,-0.347814911537786,0,15.1
14,AUSTIN,TRAVIS,AUST,PURE,6,16,1982,0.18,0.1725,0.175,,1700000,535000,5100000,,7335000,,7,0,0,69779728.1998207,84946678.9341424,2452989.88318541,4073460.97903592,-0.219265143687212,0,15.1
15,AUSTIN,TRAVIS,AUST,SUPERIOR,6,16,1982,0.168,0.148,0.162,,1700000,535000,5100000,,7335000,,7,0,0,69779728.1998207,84946678.9341424,0.0,9552974.16662402,-0.821453281933713,0,15.1
16,AUSTIN,TRAVIS,AUST,SUPERIOR,6,13,1984,0.1344,0.1287,0.1377,,4500000,290000,2800000,,7590000,7590000,7,0,1,61153356.5037516,86135755.5117197,8408178.44610434,9552974.16662402,0.170198599374968,0,14.86
17,AUSTIN,TRAVIS,AUST,BORDEN,6,13,1984,0.179,0.169,0.179,,4500000,290000,2800000,,7590000,,7,0,0,61153356.5037516,86135755.5117197,5053162.55577056,14843406.5703431,-0.369533364986927,0,14.86
18,AUSTIN,TRAVIS,AUST,OAK FARMS,6,13,1984,0.1349,0.1329,0.1399,,4500000,290000,2800000,,7590000,,7,0,0,61153356.5037516,86135755.5117197,2909612.0,34259343.9798566,-0.625035818908479,0,14.86
19,AUSTIN,TRAVIS,AUST,PURE,6,13,1984,0.17,0.165,0.17,,4500000,290000,2800000,,7590000,,7,0,0,61153356.5037516,86135755.5117197,2253000.0,4073460.97903592,-0.156872499926803,0,14.86
20,AUSTIN,TRAVIS,AUST,SCHEPPS,6,13,1984,0.1799,0.1699,0.1799,,4500000,290000,2800000,,7590000,,7,0,0,61153356.5037516,86135755.5117197,10527127.6666667,24459260.8526589,-0.27957047440866,0,14.86
21,AUSTIN,TRAVIS,AUST,OAK FARMS,6,18,1985,0.124,0.123,0.136,,4500000,290000,2500000,,7290000,7290000,7,0,1,59536009.3501284,93054269.8529648,11537396.1765295,34259343.9798566,-0.303032384059648,0,14.34
22,AUSTIN,TRAVIS,AUST,BORDEN,6,18,1985,0.18,0.1695,0.1795,,4500000,290000,2500000,,7290000,,7,0,0,59536009.3501284,93054269.8529648,4502217.80487806,14843406.5703431,-0.336484468683746,0,14.34
23,AUSTIN,TRAVIS,AUST,PURE,6,18,1985,0.17,0.165,0.17,,4500000,290000,2500000,,7290000,,7,0,0,59536009.3501284,93054269.8529648,2103000.0,4073460.97903592,-0.123530190223541,0,14.34
24,AUSTIN,TRAVIS,AUST,SCHEPPS,6,18,1985,0.177,0.167,0.177,,4500000,290000,2500000,,7290000,,7,0,0,59536009.3501284,93054269.8529648,11417195.5542433,24459260.8526589,-0.173014630071921,0,14.34
25,AUSTIN,TRAVIS,AUST,SUPERIOR,6,18,1985,0.1314,0.1267,0.1355,,4500000,290000,2500000,,7290000,,7,0,0,59536009.3501284,93054269.8529648,1259018.5679052,9552974.16662402,-0.50800543053846,0,14.34
26,AUSTIN,TRAVIS,AUST,SUPERIOR,5,26,1986,0.12,0.12,0.1339,,4300000,345000,2600000,,7245000,7245000,7,0,1,95289116.5408635,96115650.8644452,7245000,9552974.16662402,-0.232998073752847,0,14.44
27,AUSTIN,TRAVIS,AUST,OAK FARMS,5,26,1986,0.126,0.126,0.138,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,2549871.38961763,34259343.9798566,-0.916972132753644,0,14.44
28,AUSTIN,TRAVIS,AUST,PURE,5,26,1986,0.165,0.1625,0.165,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,2103000.0,4073460.97903592,-0.475132026311966,0,14.44
29,AUSTIN,TRAVIS,AUST,SCHEPPS,5,26,1986,0.176,0.171,0.181,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,6136072.55424326,24459260.8526589,-0.740531535377407,0,14.44
30,AUSTIN,TRAVIS,AUST,SUPERIOR,5,11,1987,0.1239,0.124,0.1369,,4500000,380000,2750000,,7630000,7630000,7,0,1,96599746.2449685,101379288.42028,7630000,9552974.16662402,-0.154150707593488,0,14.92
31,AUSTIN,TRAVIS,AUST,BORDEN,5,11,1987,0.165,0.159,0.165,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,5736484.01438034,14843406.5703431,-0.566388034038268,0,14.92
32,AUSTIN,TRAVIS,AUST,OAK FARMS,5,11,1987,0.1259,0.1219,0.1399,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,6666391.54487477,34259343.9798566,-0.75826876308247,0,14.92
33,AUSTIN,TRAVIS,AUST,PURE,5,11,1987,0.1625,0.159,0.16,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,2545947.30397327,4073460.97903592,-0.327846452034542,0,14.92
34,AUSTIN,TRAVIS,AUST,SCHEPPS,5,11,1987,0.17,0.17,0.18,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,11857331.3490957,24459260.8526589,-0.468076036737732,0,14.92
35,AUSTIN,TRAVIS,AUST,SUPERIOR,4,6,1988,0.114,0.11,0.13,,4700000,450000,3000000,,8150000,8150000,7,0,1,108295131.339606,109470332.68921,8150000.0,9552974.16662402,-0.136127211149486,0,14.44
36,AUSTIN,TRAVIS,AUST,BORDEN,4,6,1988,0.1427,0.1323,0.147,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,703468.48026398,14843406.5703431,-0.941872001743873,0,14.44
37,AUSTIN,TRAVIS,AUST,OAK FARMS,4,6,1988,0.119,0.12,0.133,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,32050.0,34259343.9798566,-0.988329147810875,0,14.44
