SYSTEM,COUNTY,YEAR,LETDATE,MRKTCODE,EST,VENDOR,WIN,ZONE,OPT,CASES,POPUL,ESC,QUANTITY,QCODE,LFC,LFW,WW,WC,SKM,SIGNTURE,REVISED,COMMENTS,QLFC,QLFW,QWW,QWC,QSKM,NUMWIN,ADJPOP,SYSNUM,ADA,MEALS,DSTFLAG,MILES,MINUTES,FMOZONE,CALL,KEYS,COOLER,DEL,NUMSCHL,ESTQTY,IQFLG
AUSTIN,TRAVIS,79,6/12/1919,AUST,,SUPERIOR,*,,,,63886,F,9242000,YR,0.145,0.119,0.137,,,,,,4500000,242000,4500000,,,1,63886,,,,,,,7,,,,5,96,9242000,
AUSTIN,TRAVIS,79,6/12/1919,AUST,,OAK FARMS,,,,,63886,F,,,0.161,0.141,0.151,,,,,,4500000,242000,4500000,,,1,,,,,,,,7,,,,5,96,9242000,
AUSTIN,TRAVIS,79,6/12/1919,AUST,,SCHEPPS,,,,,63886,F,,,0.1723,0.1575,0.1623,,,,,,4500000,242000,4500000,,,1,,,,,,,,7,,,,5,96,9242000,
AUSTIN,TRAVIS,79,6/12/1919,AUST,,"STEVENS, B.",,,,,63886,F,,,0.14,0.135,0.135,,,,,,4500000,242000,4500000,,,1,,,,,,,,7,,,,5,96,9242000,
AUSTIN,TRAVIS,80,6/9/1920,AUST,,SUPERIOR,*,,,,63886,F,7800000,YR,0.163,0.145,0.155,,,,,,2700000,600000,4500000,,,1,63886,,,,,,,7,,,,5,96,7800000,
AUSTIN,TRAVIS,80,6/9/1920,AUST,,OAK FARMS,,,,,63886,F,,,0.169,0.149,0.169,,,,,,2700000,600000,4500000,,,1,,,,,,,,7,,,,5,96,7800000,
AUSTIN,TRAVIS,80,6/9/1920,AUST,,PURE,,,,,63886,F,,,0.2,0.188,0.192,,,,,,2700000,600000,4500000,,,1,,,,,,,,7,,,,5,96,7800000,
AUSTIN,TRAVIS,80,6/9/1920,AUST,,SCHEPPS,,,,,63886,F,,,0.1725,0.1695,0.1745,,,,,,2700000,600000,4500000,,,1,,,,,,,,7,,,,5,96,7800000,
AUSTIN,TRAVIS,81,6/9/1921,AUST,,OAK FARMS,*,,,,63886,,7750000,YR,0.165,0.145,0.158,,,,,,2000000,750000,5000000,,,1,63886,,,,,,,7,,,,5,96,7750000,
AUSTIN,TRAVIS,81,6/9/1921,AUST,,BORDEN,,,,,63886,,,,0.19,0.185,0.189,,,,,,2000000,750000,5000000,,,1,,,,,,,,7,,,,5,96,7750000,
AUSTIN,TRAVIS,81,6/9/1921,AUST,,SUPERIOR,,,,,63886,,,,0.168,0.15,0.164,,,,,,2000000,750000,5000000,,,1,,,,,,,,7,,,,5,96,7750000,
AUSTIN,TRAVIS,82,6/16/1922,AUST,,OAK FARMS,*,,,,63886,F,7335000,YR,0.14,0.1349,0.1449,,,,,,1700000,535000,5100000,,,1,63886,,,,,,,7,,,,5,96,7335000,
AUSTIN,TRAVIS,82,6/16/1922,AUST,,BORDEN,,,,,63886,F,,,0.185,0.179,0.185,,,,,,1700000,535000,5100000,,,1,,,,,,,,7,,,,5,96,7335000,
AUSTIN,TRAVIS,82,6/16/1922,AUST,,PURE,,,,,63886,F,,,0.18,0.1725,0.175,,,,,,1700000,535000,5100000,,,1,,,,,,,,7,,,,5,96,7335000,
AUSTIN,TRAVIS,82,6/16/1922,AUST,,SUPERIOR,,,,,63886,F,,,0.168,0.148,0.162,,,,,,1700000,535000,5100000,,,1,,,,,,,,7,,,,5,96,7335000,
AUSTIN,TRAVIS,84,6/13/1924,AUST,,SUPERIOR,*,,,,63886,F,7590000,YR,0.1344,0.1287,0.1377,,,,,,4500000,290000,2800000,,,1,63886,,,,,,,7,,,,5,96,7590000,
AUSTIN,TRAVIS,84,6/13/1924,AUST,,BORDEN,,,,,63886,F,,,0.179,0.169,0.179,,,,,,4500000,290000,2800000,,,1,,,,,,,,7,,,,5,96,7590000,
AUSTIN,TRAVIS,84,6/13/1924,AUST,,OAK FARMS,,,,,63886,F,,,0.1349,0.1329,0.1399,,,,,,4500000,290000,2800000,,,1,,,,,,,,7,,,,5,96,7590000,
AUSTIN,TRAVIS,84,6/13/1924,AUST,,PURE,,,,,63886,F,,,0.17,0.165,0.17,,,,,,4500000,290000,2800000,,,1,,,,,,,,7,,,,5,96,7590000,
AUSTIN,TRAVIS,84,6/13/1924,AUST,,SCHEPPS,,,,,63886,F,,,0.1799,0.1699,0.1799,,,,,,4500000,290000,2800000,,,1,,,,,,,,7,,,,5,96,7590000,
AUSTIN,TRAVIS,85,6/18/1925,AUST,,OAK FARMS,*,,,,63886,F,7290000,YR,0.124,0.123,0.136,,,"RAMSAY, H (HARRY)",,,4500000,290000,2500000,,,1,63886,227-901,116106,7149184,,,,7,,,,5,96,7290000,
AUSTIN,TRAVIS,85,6/18/1925,AUST,,BORDEN,,,,,63886,F,,,0.18,0.1695,0.1795,,,"HALSON, ARTHUR",,,4500000,290000,2500000,,,1,,227-901,116106,7149184,,,,7,,,,5,96,7290000,
AUSTIN,TRAVIS,85,6/18/1925,AUST,,PURE,,,,,63886,F,,,0.17,0.165,0.17,,,"McCARLEY, A J",,,4500000,290000,2500000,,,1,,227-901,116106,7149184,,,,7,,,,5,96,7290000,
AUSTIN,TRAVIS,85,6/18/1925,AUST,,SCHEPPS,,,,,63886,F,,,0.177,0.167,0.177,,,HERNANDEZ C (CARMEN),,,4500000,290000,2500000,,,1,,227-901,116106,7149184,,,,7,,,,5,96,7290000,
AUSTIN,TRAVIS,85,6/18/1925,AUST,,SUPERIOR,,,,,63886,F,,,0.1314,0.1267,0.1355,,,"ADAMSON, M J",,,4500000,290000,2500000,,,1,,227-901,116106,7149184,,,,7,,,,5,96,7290000,
AUSTIN,TRAVIS,86,5/26/1926,AUST,,SUPERIOR,*,,,,63886,F,7245000,YR,0.12,0.12,0.1339,,,"ADAMSON, M J",,,4300000,345000,2600000,,,1,63886,227-901,115470,7562835,,,,7,,,,5,96,7245000,
AUSTIN,TRAVIS,86,5/26/1926,AUST,,OAK FARMS,,,,,63886,F,,,0.126,0.126,0.138,,,"RAMSAY, H (HARRY)",,,4300000,345000,2600000,,,1,,227-901,115470,7562835,,,,7,,,,5,96,7245000,
AUSTIN,TRAVIS,86,5/26/1926,AUST,,PURE,,,,,63886,F,,,0.165,0.1625,0.165,,,"WILLIAMS, M (MICKEY)",,,4300000,345000,2600000,,,1,,227-901,115470,7562835,,,,7,,,,5,96,7245000,
AUSTIN,TRAVIS,86,5/26/1926,AUST,,SCHEPPS,,,,,63886,F,,,0.176,0.171,0.181,,,"WELBORN, N (NOLAN)",,,4300000,345000,2600000,,,1,,227-901,115470,7562835,,,,7,,,,5,96,7245000,
AUSTIN,TRAVIS,87,5/11/1927,AUST,,SUPERIOR,*,,,,63886,F,7630000,YR,0.1239,0.124,0.1369,,,"ADAMSON, M J",,,4500000,380000,2750000,,,1,63886,227-901,120085,7661114,,,,7,,,,5,96,7630000,
AUSTIN,TRAVIS,87,5/11/1927,AUST,,BORDEN,,,,,63886,F,,,0.165,0.159,0.165,,,"HALSON, ARTHUR",,,4500000,380000,2750000,,,1,,227-901,120085,7661114,,,,7,,,,5,96,7630000,
AUSTIN,TRAVIS,87,5/11/1927,AUST,,OAK FARMS,,,,,63886,F,,,0.1259,0.1219,0.1399,,,"RICKARD, BRUCE",,,4500000,380000,2750000,,,1,,227-901,120085,7661114,,,,7,,,,5,96,7630000,
AUSTIN,TRAVIS,87,5/11/1927,AUST,,PURE,,,,,63886,F,,,0.1625,0.159,0.16,,,"WILLIAMS, M (MICKEY)",,,4500000,380000,2750000,,,1,,227-901,120085,7661114,,,,7,,,,5,96,7630000,
AUSTIN,TRAVIS,87,5/11/1927,AUST,,SCHEPPS,,,,,63886,F,,,0.17,0.17,0.18,,,"WELBORN, N (NOLAN)",,,4500000,380000,2750000,,,1,,227-901,120085,7661114,,,,7,,,,5,96,7630000,
AUSTIN,TRAVIS,88,4/6/1928,AUST,,SUPERIOR,*,,,,63886,F,8150000,YR,0.114,0.11,0.13,,,"ADAMSON, M J",,,4700000,450000,3000000,,,1,63886,227-901,123538,7996975,,,,7,,,,5,96,8150000,
AUSTIN,TRAVIS,88,4/6/1928,AUST,,BORDEN,,,,,63886,F,,,0.1427,0.1323,0.147,,,"HOUCK, J (JOHN)",,,4700000,450000,3000000,,,1,,227-901,123538,7996975,,,,7,,,,5,96,8150000,
AUSTIN,TRAVIS,88,4/6/1928,AUST,,OAK FARMS,,,,,63886,F,,,0.119,0.12,0.133,,,"EDDLEMAN, MIKE",,,4700000,450000,3000000,,,1,,227-901,123538,7996975,,,,7,,,,5,96,8150000,
AUSTIN,TRAVIS,88,4/6/1928,AUST,,PURE,,,,,63886,F,,,0.159,0.155,0.159,,,"WILLIAMS, M (MICKEY)",,,4700000,450000,3000000,,,1,,227-901,123538,7996975,,,,7,,,,5,96,8150000,
AUSTIN,TRAVIS,88,4/6/1928,AUST,,SCHEPPS,,,,,63886,F,,,0.18,0.17,0.18,,,"PETERS, JACKIE",,,4700000,450000,3000000,,,1,,227-901,123538,7996975,,,,7,,,,5,96,8150000,
AUSTIN,TRAVIS,89,4/17/1929,AUST,,SUPERIOR,*,,,,63886,F,7450000,YR,0.1243,0.1215,0.1329,,,"PICKENS, J Q",,,4000000,450000,3000000,,,1,63886,,,8119038,,,,7,,,,5,96,7450000,
AUSTIN,TRAVIS,89,4/17/1929,AUST,,OAK FARMS,,,,,63886,F,,,0.1224,0.125,0.136,,,"MORGAN, DALE",,,4000000,450000,3000000,,,1,,,,8119038,,,,7,,,,5,96,7450000,
AUSTIN,TRAVIS,89,4/17/1929,AUST,,SCHEPPS,,,,,63886,F,,,0.17,0.16,0.17,,,HERNANDEZ C (CARMEN),,,4000000,450000,3000000,,,1,,,,8119038,,,,7,,,,5,96,7450000,
IREDELE,BOSQUE,87,8/12/1927,DFW,*,CABELL,Y,,,,115,E,8425,,,0.16,0.17,0.18,,"GARLINGTON, D (DUB)",*,,,2138.1413326421,3311.8096657908,2975.0490015671,,1,115,018-906,200,18799,2,91,106,3,,N,Y,2,1,8425,*
IREDELE,BOSQUE,88,,DFW,,CABELL,Y,,,,115,,8599,,,0.16,0.17,0.18,,"BOYLE, P (PAT)",,,,2182.2999785625,3380.2078713514,3036.4921500861,,1,115,018-906,220,21114,2,91,106,3,F,N,Y,2,1,8599,*
